#timestamp,interval,socket,domain,energy,power
0.005355,0.005699,N0,package,0.5524,96.9210
0.005471,0.005586,N0,ram,0.0231,4.1357
0.005638,0.005649,N1,package,0.4807,85.0992
0.005659,0.005659,N1,ram,0.0324,5.7216
0.010822,0.005467,N0,package,0.5883,107.6026
0.010835,0.005364,N0,ram,0.0247,4.6084
0.010986,0.005348,N1,package,0.3914,73.1869
0.011007,0.005348,N1,ram,0.0259,4.8447
0.016354,0.005532,N0,package,0.4803,86.8302
0.016561,0.005726,N0,ram,0.0215,3.7467
0.016758,0.005772,N1,package,0.3839,66.5035
0.016779,0.005772,N1,ram,0.0260,4.5074
0.021959,0.005605,N0,package,0.6222,111.0070
0.022112,0.005551,N0,ram,0.0270,4.8683
0.022435,0.005677,N1,package,0.4578,80.6458
0.022524,0.005745,N1,ram,0.0302,5.2561
0.027692,0.005733,N0,package,0.5627,98.1479
0.027909,0.005797,N0,ram,0.0242,4.1693
0.027983,0.005548,N1,package,0.4775,86.0631
0.027996,0.005472,N1,ram,0.0331,6.0484
0.033386,0.005694,N0,package,0.5164,90.6859
0.033513,0.005604,N0,ram,0.0207,3.6949
0.033603,0.005620,N1,package,0.3910,69.5714
0.033614,0.005618,N1,ram,0.0251,4.4735
0.038779,0.005393,N0,package,0.6287,116.5807
0.038909,0.005396,N0,ram,0.0254,4.7055
0.038994,0.005391,N1,package,0.4833,89.6430
0.039005,0.005391,N1,ram,0.0307,5.6862
0.044388,0.005609,N0,package,0.6246,111.3512
0.044499,0.005590,N0,ram,0.0249,4.4576
0.044661,0.005667,N1,package,0.4240,74.8107
0.044672,0.005667,N1,ram,0.0268,4.7282
0.049855,0.005467,N0,package,0.6419,117.4161
0.049871,0.005372,N0,ram,0.0251,4.6725
0.049942,0.005281,N1,package,0.4919,93.1540
0.049955,0.005283,N1,ram,0.0317,6.0020
0.055135,0.005280,N0,package,0.5516,104.4761
0.055158,0.005287,N0,ram,0.0204,3.8559
0.055392,0.005450,N1,package,0.4203,77.1169
0.055467,0.005512,N1,ram,0.0260,4.7227
0.060632,0.005497,N0,package,0.4986,90.7037
0.060643,0.005485,N0,ram,0.0196,3.5775
0.060758,0.005366,N1,package,0.4658,86.7968
0.060770,0.005303,N1,ram,0.0310,5.8467
0.065933,0.005301,N0,package,0.6443,121.5522
0.066108,0.005465,N0,ram,0.0300,5.4948
0.066438,0.005680,N1,package,0.4273,75.2322
0.066596,0.005826,N1,ram,0.0258,4.4210
0.071761,0.005828,N0,package,0.5742,98.5187
0.071885,0.005777,N0,ram,0.0289,5.0052
0.072025,0.005587,N1,package,0.4935,88.3229
0.072038,0.005442,N1,ram,0.0318,5.8406
0.077330,0.005569,N0,package,0.6404,114.9967
0.077532,0.005647,N0,ram,0.0343,6.0825
0.077723,0.005698,N1,package,0.4370,76.6854
0.077734,0.005696,N1,ram,0.0251,4.4120
0.082912,0.005582,N0,package,0.6514,116.7046
0.083093,0.005561,N0,ram,0.0340,6.1135
0.083383,0.005660,N1,package,0.4772,84.3161
0.083563,0.005829,N1,ram,0.0325,5.5783
0.088721,0.005809,N0,package,0.6038,103.9445
0.088896,0.005803,N0,ram,0.0348,5.9924
0.089051,0.005668,N1,package,0.4581,80.8177
0.089062,0.005499,N1,ram,0.0308,5.6025
0.094335,0.005614,N0,package,0.5229,93.1393
0.094443,0.005547,N0,ram,0.0300,5.4026
0.094612,0.005561,N1,package,0.3749,67.4106
0.094624,0.005562,N1,ram,0.0249,4.4854
0.099789,0.005454,N0,package,0.5969,109.4393
0.099957,0.005514,N0,ram,0.0345,6.2597
0.100114,0.005502,N1,package,0.4794,87.1267
0.100125,0.005501,N1,ram,0.0323,5.8777
0.105180,0.005391,N0,package,0.5143,95.3943
0.105194,0.005237,N0,ram,0.0269,5.1367
0.105361,0.005247,N1,package,0.3832,73.0299
0.105571,0.005446,N1,ram,0.0263,4.8276
0.110734,0.005554,N0,package,0.5205,93.7183
0.110748,0.005554,N0,ram,0.0269,4.8436
0.110898,0.005537,N1,package,0.4452,80.4023
0.110910,0.005339,N1,ram,0.0298,5.5875
0.116023,0.005289,N0,package,0.5452,103.0855
0.116058,0.005310,N0,ram,0.0224,4.2098
0.116199,0.005301,N1,package,0.4063,76.6480
0.116232,0.005322,N1,ram,0.0270,5.0662
0.121353,0.005330,N0,package,0.4805,90.1583
0.121384,0.005326,N0,ram,0.0210,3.9423
0.121498,0.005299,N1,package,0.3888,73.3699
0.121511,0.005279,N1,ram,0.0258,4.8935
0.126624,0.005271,N0,package,0.4523,85.8119
0.126659,0.005275,N0,ram,0.0217,4.1047
0.126799,0.005301,N1,package,0.3892,73.4241
0.126832,0.005321,N1,ram,0.0267,5.0126
0.131951,0.005327,N0,package,0.5443,102.1800
0.131986,0.005327,N0,ram,0.0243,4.5573
0.132101,0.005302,N1,package,0.4113,77.5782
0.132135,0.005303,N1,ram,0.0330,6.2210
0.137236,0.005285,N0,package,0.4482,84.8136
0.137268,0.005282,N0,ram,0.0215,4.0702
0.137462,0.005361,N1,package,0.4742,88.4529
0.137605,0.005470,N1,ram,0.0249,4.5441
0.142736,0.005500,N0,package,0.4592,83.4874
0.142767,0.005499,N0,ram,0.0204,3.7072
0.142879,0.005417,N1,package,0.4018,74.1714
0.142912,0.005307,N1,ram,0.0269,5.0691
0.148032,0.005296,N0,package,0.5419,102.3170
0.148062,0.005295,N0,ram,0.0259,4.8874
0.148172,0.005293,N1,package,0.4327,81.7586
0.148215,0.005303,N1,ram,0.0305,5.7431
0.153476,0.005444,N0,package,0.3919,71.9881
0.153580,0.005518,N0,ram,0.0192,3.4815
0.153742,0.005570,N1,package,0.4570,82.0388
0.153754,0.005539,N1,ram,0.0341,6.1488
0.158866,0.005390,N0,package,0.5363,99.5033
0.158898,0.005318,N0,ram,0.0247,4.6423
0.159010,0.005268,N1,package,0.4164,79.0420
0.159043,0.005289,N1,ram,0.0291,5.5016
0.164128,0.005262,N0,package,0.5363,101.9082
0.164140,0.005242,N0,ram,0.0247,4.7157
0.164387,0.005377,N1,package,0.3749,69.7181
0.164489,0.005446,N1,ram,0.0249,4.5782
0.169681,0.005553,N0,package,0.4666,84.0290
0.169840,0.005700,N0,ram,0.0218,3.8253
0.170012,0.005625,N1,package,0.4570,81.2499
0.170046,0.005557,N1,ram,0.0320,5.7635
0.175133,0.005452,N0,package,0.5468,100.2975
0.175145,0.005305,N0,ram,0.0266,5.0222
0.175386,0.005374,N1,package,0.3154,58.6960
0.175542,0.005496,N1,ram,0.0254,4.6254
0.180621,0.005488,N0,package,0.4880,88.9294
0.180632,0.005487,N0,ram,0.0226,4.1128
0.180783,0.005397,N1,package,0.5046,93.5021
0.180812,0.005270,N1,ram,0.0267,5.0583
0.185887,0.005266,N0,package,0.5078,96.4172
0.185899,0.005267,N0,ram,0.0203,3.8560
0.186034,0.005251,N1,package,0.4152,79.0759
0.186046,0.005234,N1,ram,0.0267,5.0991
0.191123,0.005236,N0,package,0.6096,116.4187
0.191135,0.005236,N0,ram,0.0244,4.6686
0.191271,0.005237,N1,package,0.4279,81.7088
0.191454,0.005408,N1,ram,0.0297,5.4906
0.196539,0.005416,N0,package,0.4979,91.9260
0.196551,0.005416,N0,ram,0.0194,3.5751
0.196683,0.005412,N1,package,0.3804,70.2847
0.196694,0.005240,N1,ram,0.0266,5.0814
0.201770,0.005231,N0,package,0.5178,98.9884
0.201782,0.005231,N0,ram,0.0202,3.8680
0.201912,0.005229,N1,package,0.3904,74.6686
0.201923,0.005229,N1,ram,0.0263,5.0279
0.206997,0.005227,N0,package,0.4973,95.1344
0.207009,0.005227,N0,ram,0.0209,3.9993
0.207149,0.005237,N1,package,0.4588,87.6059
0.207349,0.005426,N1,ram,0.0309,5.6945
0.212438,0.005441,N0,package,0.5997,110.2207
0.212450,0.005441,N0,ram,0.0231,4.2431
0.212583,0.005434,N1,package,0.3736,68.7511
0.212595,0.005246,N1,ram,0.0249,4.7557
0.217672,0.005234,N0,package,0.4980,95.1444
0.217684,0.005234,N0,ram,0.0206,3.9357
0.217812,0.005229,N1,package,0.4068,77.7968
0.217823,0.005228,N1,ram,0.0261,4.9880
0.222897,0.005225,N0,package,0.5195,99.4329
0.222909,0.005225,N0,ram,0.0211,4.0360
0.223051,0.005239,N1,package,0.3818,72.8832
0.223063,0.005240,N1,ram,0.0270,5.1572
0.228139,0.005242,N0,package,0.5898,112.5138
0.228149,0.005240,N0,ram,0.0248,4.7320
0.228339,0.005288,N1,package,0.3796,71.7825
0.228540,0.005477,N1,ram,0.0316,5.7642
0.233616,0.005477,N0,package,0.5077,92.6918
0.233628,0.005479,N0,ram,0.0200,3.6482
0.233772,0.005433,N1,package,0.4426,81.4576
0.233784,0.005244,N1,ram,0.0247,4.7167
0.238858,0.005242,N0,package,0.5080,96.9111
0.238870,0.005242,N0,ram,0.0206,3.9327
0.239013,0.005241,N1,package,0.3974,75.8264
0.239027,0.005243,N1,ram,0.0274,5.2181
0.244105,0.005247,N0,package,0.6108,116.4028
0.244115,0.005245,N0,ram,0.0242,4.6138
0.244361,0.005348,N1,package,0.3735,69.8462
0.244521,0.005494,N1,ram,0.0308,5.5993
0.249596,0.005491,N0,package,0.4965,90.4131
0.249608,0.005493,N0,ram,0.0213,3.8752
0.249739,0.005378,N1,package,0.4549,84.5843
0.249751,0.005230,N1,ram,0.0264,5.0413
0.254825,0.005229,N0,package,0.5062,96.8112
0.254836,0.005228,N0,ram,0.0224,4.2933
0.254968,0.005229,N1,package,0.3804,72.7543
0.254979,0.005228,N1,ram,0.0254,4.8510
0.260054,0.005229,N0,package,0.5167,98.8072
0.260065,0.005229,N0,ram,0.0214,4.0970
0.260301,0.005333,N1,package,0.3832,71.8594
0.260574,0.005595,N1,ram,0.0329,5.8851
0.265652,0.005598,N0,package,0.5789,103.4075
0.265663,0.005598,N0,ram,0.0244,4.3504
0.265791,0.005490,N1,package,0.4490,81.7830
0.265802,0.005228,N1,ram,0.0242,4.6204
0.270876,0.005224,N0,package,0.5075,97.1494
0.270888,0.005225,N0,ram,0.0209,3.9978
0.271020,0.005229,N1,package,0.3813,72.9294
0.271031,0.005229,N1,ram,0.0266,5.0950
0.276106,0.005230,N0,package,0.4974,95.1087
0.276119,0.005231,N0,ram,0.0199,3.8009
0.276303,0.005283,N1,package,0.3694,69.9180
0.276507,0.005476,N1,ram,0.0247,4.5030
0.281585,0.005479,N0,package,0.6087,111.1004
0.281597,0.005478,N0,ram,0.0255,4.6490
0.281727,0.005424,N1,package,0.4939,91.0572
0.281739,0.005232,N1,ram,0.0314,6.0019
0.286813,0.005228,N0,package,0.5295,101.2886
0.286826,0.005229,N0,ram,0.0204,3.9044
0.286956,0.005229,N1,package,0.3718,71.0968
0.286968,0.005229,N1,ram,0.0254,4.8557
0.292042,0.005229,N0,package,0.4759,91.0100
0.292053,0.005227,N0,ram,0.0188,3.5993
0.292282,0.005326,N1,package,0.3969,74.5229
0.292448,0.005480,N1,ram,0.0260,4.7502
0.297522,0.005480,N0,package,0.6097,111.2656
0.297534,0.005481,N0,ram,0.0243,4.4320
0.297668,0.005386,N1,package,0.5051,93.7873
0.297679,0.005231,N1,ram,0.0317,6.0529
0.302755,0.005233,N0,package,0.5262,100.5618
0.302767,0.005233,N0,ram,0.0205,3.9218
0.302898,0.005230,N1,package,0.3945,75.4252
0.302909,0.005230,N1,ram,0.0254,4.8607
0.307983,0.005228,N0,package,0.4866,93.0856
0.307995,0.005228,N0,ram,0.0196,3.7505
0.308159,0.005261,N1,package,0.3725,70.8011
0.308176,0.005267,N1,ram,0.0249,4.7279
0.313257,0.005274,N0,package,0.4849,91.9336
0.313269,0.005274,N0,ram,0.0191,3.6137
0.313422,0.005263,N1,package,0.4494,85.3913
0.313433,0.005257,N1,ram,0.0311,5.9185
0.318506,0.005249,N0,package,0.6314,120.2907
0.318518,0.005249,N0,ram,0.0254,4.8343
0.318650,0.005228,N1,package,0.3824,73.1529
0.318661,0.005228,N1,ram,0.0269,5.1456
0.323735,0.005229,N0,package,0.4856,92.8659
0.323746,0.005228,N0,ram,0.0200,3.8205
0.323884,0.005234,N1,package,0.3716,70.9939
0.323896,0.005235,N1,ram,0.0253,4.8298
0.328971,0.005236,N0,package,0.5164,98.6301
0.328983,0.005237,N0,ram,0.0187,3.5750
0.329113,0.005229,N1,package,0.3943,75.4040
0.329125,0.005229,N1,ram,0.0270,5.1621
0.334179,0.005208,N0,package,0.5170,99.2639
0.334191,0.005208,N0,ram,0.0177,3.4045
0.334405,0.005292,N1,package,0.3629,68.5788
0.334575,0.005450,N1,ram,0.0311,5.7143
0.339654,0.005475,N0,package,0.5878,107.3653
0.339666,0.005475,N0,ram,0.0216,3.9521
0.339794,0.005389,N1,package,0.4466,82.8718
0.339805,0.005230,N1,ram,0.0259,4.9482
0.344879,0.005225,N0,package,0.5056,96.7578
0.344891,0.005225,N0,ram,0.0183,3.4984
0.345020,0.005226,N1,package,0.3907,74.7562
0.345032,0.005227,N1,ram,0.0258,4.9422
0.350107,0.005228,N0,package,0.4983,95.3112
0.350117,0.005226,N0,ram,0.0177,3.3783
0.350339,0.005319,N1,package,0.3735,70.2282
0.350428,0.005396,N1,ram,0.0253,4.6912
0.355503,0.005396,N0,package,0.5878,108.9241
0.355513,0.005396,N0,ram,0.0214,3.9588
0.355659,0.005320,N1,package,0.4380,82.3275
0.355671,0.005243,N1,ram,0.0305,5.8121
0.360744,0.005241,N0,package,0.5056,96.4746
0.360756,0.005243,N0,ram,0.0196,3.7399
0.360892,0.005233,N1,package,0.3937,75.2289
0.360903,0.005232,N1,ram,0.0273,5.2232
0.365977,0.005233,N0,package,0.4964,94.8584
0.365988,0.005232,N0,ram,0.0175,3.3393
0.366118,0.005226,N1,package,0.3893,74.4910
0.366130,0.005227,N1,ram,0.0267,5.1086
0.371177,0.005200,N0,package,0.5067,97.4349
0.371188,0.005200,N0,ram,0.0179,3.4362
0.371435,0.005317,N1,package,0.3866,72.7099
0.371602,0.005472,N1,ram,0.0298,5.4460
0.376681,0.005504,N0,package,0.5992,108.8715
0.376693,0.005505,N0,ram,0.0204,3.7003
0.376827,0.005392,N1,package,0.4669,86.5822
0.376838,0.005236,N1,ram,0.0269,5.1378
0.381916,0.005235,N0,package,0.5068,96.8059
0.381928,0.005235,N0,ram,0.0188,3.5823
0.382057,0.005230,N1,package,0.3632,69.4500
0.382069,0.005231,N1,ram,0.0246,4.6962
0.387150,0.005234,N0,package,0.5172,98.8060
0.387167,0.005239,N0,ram,0.0176,3.3582
0.387401,0.005344,N1,package,0.3837,71.7919
0.387556,0.005487,N1,ram,0.0267,4.8722
0.392632,0.005482,N0,package,0.5963,108.7775
0.392644,0.005477,N0,ram,0.0216,3.9394
0.392775,0.005374,N1,package,0.4857,90.3723
0.392787,0.005231,N1,ram,0.0316,6.0441
0.397860,0.005228,N0,package,0.4924,94.1788
0.397872,0.005228,N0,ram,0.0177,3.3915
0.397990,0.005215,N1,package,0.3668,70.3406
0.398001,0.005214,N1,ram,0.0245,4.6941
0.403082,0.005222,N0,package,0.5278,101.0699
0.403094,0.005222,N0,ram,0.0179,3.4246
0.403346,0.005356,N1,package,0.3955,73.8429
0.403502,0.005501,N1,ram,0.0274,4.9873
0.408577,0.005495,N0,package,0.5839,106.2631
0.408590,0.005496,N0,ram,0.0207,3.7675
0.408722,0.005376,N1,package,0.4604,85.6399
0.408734,0.005232,N1,ram,0.0315,6.0252
0.413807,0.005230,N0,package,0.5176,98.9643
0.413819,0.005229,N0,ram,0.0180,3.4405
0.413951,0.005229,N1,package,0.3948,75.4974
0.413963,0.005229,N1,ram,0.0256,4.9024
0.419043,0.005236,N0,package,0.5087,97.1453
0.419055,0.005236,N0,ram,0.0179,3.4126
0.419184,0.005233,N1,package,0.3809,72.7796
0.419196,0.005233,N1,ram,0.0260,4.9776
0.424269,0.005226,N0,package,0.5007,95.8175
0.424281,0.005226,N0,ram,0.0175,3.3401
0.424416,0.005232,N1,package,0.3721,71.1247
0.424428,0.005232,N1,ram,0.0257,4.9024
0.429502,0.005233,N0,package,0.4875,93.1673
0.429514,0.005233,N0,ram,0.0176,3.3680
0.429646,0.005230,N1,package,0.3888,74.3399
0.429657,0.005229,N1,ram,0.0266,5.0804
0.434734,0.005232,N0,package,0.6033,115.3137
0.434746,0.005232,N0,ram,0.0223,4.2608
0.434874,0.005228,N1,package,0.4890,93.5250
0.434886,0.005229,N1,ram,0.0309,5.9033
0.439959,0.005225,N0,package,0.4911,94.0010
0.439971,0.005225,N0,ram,0.0201,3.8520
0.440104,0.005230,N1,package,0.4033,77.1058
0.440116,0.005230,N1,ram,0.0269,5.1379
0.445176,0.005217,N0,package,0.5174,99.1779
0.445188,0.005217,N0,ram,0.0221,4.2409
0.445407,0.005303,N1,package,0.3710,69.9678
0.445573,0.005457,N1,ram,0.0253,4.6443
0.450649,0.005473,N0,package,0.6064,110.7928
0.450661,0.005473,N0,ram,0.0247,4.5111
0.450792,0.005385,N1,package,0.4715,87.5548
0.450802,0.005229,N1,ram,0.0320,6.1280
0.455876,0.005227,N0,package,0.5084,97.2552
0.455888,0.005227,N0,ram,0.0207,3.9526
0.456023,0.005231,N1,package,0.3781,72.2844
0.456034,0.005232,N1,ram,0.0259,4.9464
0.461110,0.005234,N0,package,0.4815,91.9958
0.461120,0.005232,N0,ram,0.0183,3.5027
0.461354,0.005331,N1,package,0.3786,71.0182
0.461524,0.005490,N1,ram,0.0259,4.7166
0.466602,0.005492,N0,package,0.5070,92.3089
0.466614,0.005494,N0,ram,0.0210,3.8160
0.466746,0.005392,N1,package,0.3949,73.2366
0.466756,0.005232,N1,ram,0.0267,5.1008
0.471829,0.005227,N0,package,0.6151,117.6715
0.471841,0.005227,N0,ram,0.0246,4.7028
0.471975,0.005229,N1,package,0.4736,90.5665
0.471987,0.005231,N1,ram,0.0314,6.0004
0.477062,0.005233,N0,package,0.4971,94.9867
0.477071,0.005230,N0,ram,0.0207,3.9621
0.477338,0.005363,N1,package,0.3991,74.4191
0.477501,0.005514,N1,ram,0.0251,4.5523
0.482579,0.005517,N0,package,0.4908,88.9694
0.482591,0.005520,N0,ram,0.0188,3.4084
0.482720,0.005382,N1,package,0.3957,73.5236
0.482732,0.005231,N1,ram,0.0264,5.0433
0.487808,0.005229,N0,package,0.6385,122.1171
0.487820,0.005229,N0,ram,0.0273,5.2147
0.487947,0.005227,N1,package,0.4791,91.6504
0.487959,0.005227,N1,ram,0.0305,5.8328
0.493033,0.005225,N0,package,0.4875,93.3118
0.493046,0.005226,N0,ram,0.0204,3.9036
0.493288,0.005341,N1,package,0.3861,72.2907
0.493445,0.005486,N1,ram,0.0268,4.8814
0.498523,0.005490,N0,package,0.5084,92.5967
0.498534,0.005488,N0,ram,0.0199,3.6229
0.498672,0.005384,N1,package,0.3655,67.8941
0.498684,0.005239,N1,ram,0.0257,4.9105
0.503757,0.005234,N0,package,0.5884,112.4147
0.503769,0.005235,N0,ram,0.0240,4.5850
0.503901,0.005229,N1,package,0.4756,90.9517
0.503913,0.005229,N1,ram,0.0311,5.9559
0.508986,0.005229,N0,package,0.5070,96.9630
0.508998,0.005229,N0,ram,0.0201,3.8432
0.509134,0.005233,N1,package,0.3759,71.8349
0.509145,0.005232,N1,ram,0.0251,4.7974
0.514178,0.005192,N0,package,0.5062,97.5003
0.514188,0.005190,N0,ram,0.0208,4.0013
0.514432,0.005298,N1,package,0.3859,72.8334
0.514600,0.005455,N1,ram,0.0273,4.9958
0.519676,0.005498,N0,package,0.5157,93.8075
0.519688,0.005500,N0,ram,0.0208,3.7898
0.519823,0.005391,N1,package,0.3819,70.8381
0.519834,0.005234,N1,ram,0.0258,4.9240
0.524908,0.005232,N0,package,0.5979,114.2755
0.524920,0.005232,N0,ram,0.0245,4.6750
0.525057,0.005234,N1,package,0.4152,79.3317
0.525069,0.005235,N1,ram,0.0264,5.0513
0.530146,0.005238,N0,package,0.5152,98.3567
0.530164,0.005244,N0,ram,0.0218,4.1493
0.530414,0.005357,N1,package,0.4635,86.5221
0.530557,0.005488,N1,ram,0.0310,5.6498
0.535635,0.005489,N0,package,0.4754,86.6121
0.535647,0.005483,N0,ram,0.0196,3.5789
0.535799,0.005385,N1,package,0.3674,68.2221
0.535810,0.005253,N1,ram,0.0250,4.7609
0.540887,0.005252,N0,package,0.5978,113.8165
0.540899,0.005252,N0,ram,0.0245,4.6629
0.541031,0.005232,N1,package,0.4722,90.2486
0.541043,0.005233,N1,ram,0.0320,6.1087
0.546119,0.005232,N0,package,0.5158,98.5899
0.546129,0.005230,N0,ram,0.0208,3.9767
0.546375,0.005344,N1,package,0.3703,69.2907
0.546463,0.005420,N1,ram,0.0255,4.7128
0.551537,0.005418,N0,package,0.5154,95.1227
0.551549,0.005420,N0,ram,0.0212,3.9161
0.551682,0.005307,N1,package,0.3828,72.1226
0.551694,0.005231,N1,ram,0.0258,4.9415
0.556768,0.005231,N0,package,0.4930,94.2556
0.556779,0.005230,N0,ram,0.0207,3.9592
0.556912,0.005230,N1,package,0.3891,74.3982
0.556924,0.005230,N1,ram,0.0260,4.9684
0.562001,0.005233,N0,package,0.5959,113.8815
0.562013,0.005234,N0,ram,0.0235,4.4954
0.562143,0.005231,N1,package,0.4881,93.3062
0.562156,0.005232,N1,ram,0.0312,5.9584
0.567230,0.005229,N0,package,0.4941,94.4884
0.567243,0.005230,N0,ram,0.0202,3.8715
0.567376,0.005233,N1,package,0.3898,74.4975
0.567387,0.005231,N1,ram,0.0269,5.1367
0.572461,0.005231,N0,package,0.5164,98.7245
0.572473,0.005230,N0,ram,0.0214,4.0963
0.572609,0.005233,N1,package,0.3936,75.2173
0.572621,0.005234,N1,ram,0.0246,4.6995
0.577695,0.005234,N0,package,0.4946,94.5030
0.577707,0.005234,N0,ram,0.0204,3.9065
0.577843,0.005234,N1,package,0.3821,73.0113
0.577854,0.005233,N1,ram,0.0259,4.9455
0.582928,0.005233,N0,package,0.5973,114.1380
0.582939,0.005232,N0,ram,0.0233,4.4623
0.583073,0.005230,N1,package,0.4205,80.3968
0.583083,0.005229,N1,ram,0.0264,5.0512
0.588165,0.005237,N0,package,0.4943,94.3771
0.588176,0.005237,N0,ram,0.0204,3.8984
0.588421,0.005348,N1,package,0.4992,93.3409
0.588567,0.005484,N1,ram,0.0325,5.9292
0.593644,0.005479,N0,package,0.4953,90.4021
0.593656,0.005480,N0,ram,0.0192,3.5084
0.593789,0.005368,N1,package,0.3687,68.6874
0.593800,0.005233,N1,ram,0.0252,4.8199
0.598874,0.005230,N0,package,0.6096,116.5461
0.598886,0.005230,N0,ram,0.0247,4.7236
0.599017,0.005228,N1,package,0.4326,82.7531
0.599029,0.005229,N1,ram,0.0312,5.9646
0.604106,0.005232,N0,package,0.5172,98.8582
0.604116,0.005230,N0,ram,0.0205,3.9183
0.604363,0.005346,N1,package,0.3793,70.9443
0.604464,0.005435,N1,ram,0.0262,4.8233
0.609541,0.005435,N0,package,0.5046,92.8387
0.609553,0.005437,N0,ram,0.0210,3.8588
0.609688,0.005325,N1,package,0.4058,76.1983
0.609699,0.005235,N1,ram,0.0263,5.0193
0.614777,0.005236,N0,package,0.4844,92.5176
0.614788,0.005235,N0,ram,0.0205,3.9116
0.614916,0.005228,N1,package,0.3703,70.8296
0.614927,0.005228,N1,ram,0.0257,4.9208
0.620003,0.005226,N0,package,0.5977,114.3643
0.620015,0.005227,N0,ram,0.0247,4.7351
0.620147,0.005231,N1,package,0.4556,87.0913
0.620160,0.005233,N1,ram,0.0313,5.9862
0.625233,0.005230,N0,package,0.5067,96.8753
0.625244,0.005229,N0,ram,0.0195,3.7381
0.625256,0.005109,N1,package,0.3867,75.6806
0.625265,0.005105,N1,ram,0.0259,5.0723
0.630338,0.005105,N0,package,0.5157,101.0275
0.630350,0.005106,N0,ram,0.0185,3.6188
0.630481,0.005225,N1,package,0.3723,71.2454
0.630492,0.005227,N1,ram,0.0268,5.1263
0.635568,0.005230,N0,package,0.4865,93.0124
0.635580,0.005230,N0,ram,0.0197,3.7753
0.635707,0.005226,N1,package,0.3842,73.5099
0.635719,0.005227,N1,ram,0.0250,4.7758
0.640792,0.005224,N0,package,0.5046,96.6002
0.640804,0.005224,N0,ram,0.0196,3.7504
0.640934,0.005227,N1,package,0.3846,73.5866
0.640946,0.005227,N1,ram,0.0276,5.2839
0.646020,0.005228,N0,package,0.5981,114.4108
0.646032,0.005228,N0,ram,0.0251,4.7924
0.646303,0.005369,N1,package,0.3558,66.2651
0.646468,0.005522,N1,ram,0.0331,5.9852
0.651546,0.005526,N0,package,0.5049,91.3639
0.651557,0.005525,N0,ram,0.0199,3.5987
0.651687,0.005384,N1,package,0.4894,90.9071
0.651700,0.005232,N1,ram,0.0238,4.5583
0.656777,0.005231,N0,package,0.5164,98.7245
0.656788,0.005231,N0,ram,0.0221,4.2237
0.656921,0.005234,N1,package,0.4016,76.7195
0.656933,0.005233,N1,ram,0.0271,5.1873
0.662006,0.005229,N0,package,0.5767,110.2812
0.662018,0.005230,N0,ram,0.0224,4.2888
0.662158,0.005237,N1,package,0.3708,70.8003
0.662344,0.005411,N1,ram,0.0258,4.7686
0.667431,0.005425,N0,package,0.5141,94.7611
0.667443,0.005425,N0,ram,0.0221,4.0672
0.667574,0.005416,N1,package,0.4459,82.3244
0.667586,0.005242,N1,ram,0.0305,5.8187
0.672662,0.005231,N0,package,0.4954,94.6990
0.672674,0.005231,N0,ram,0.0190,3.6405
0.672803,0.005229,N1,package,0.4077,77.9719
0.672815,0.005229,N1,ram,0.0269,5.1446
0.677891,0.005229,N0,package,0.5063,96.8229
0.677903,0.005229,N0,ram,0.0219,4.1875
0.678038,0.005235,N1,package,0.3763,71.8871
0.678049,0.005234,N1,ram,0.0253,4.8394
0.683126,0.005235,N0,package,0.5982,114.2713
0.683136,0.005233,N0,ram,0.0243,4.6420
0.683404,0.005366,N1,package,0.3744,69.7727
0.683478,0.005429,N1,ram,0.0266,4.8961
0.688554,0.005428,N0,package,0.4959,91.3603
0.688566,0.005430,N0,ram,0.0205,3.7683
0.688696,0.005292,N1,package,0.4749,89.7430
0.688707,0.005229,N1,ram,0.0306,5.8508
0.693784,0.005230,N0,package,0.5365,102.5821
0.693795,0.005229,N0,ram,0.0211,4.0357
0.693922,0.005226,N1,package,0.3785,72.4204
0.693934,0.005227,N1,ram,0.0272,5.1993
0.699007,0.005223,N0,package,0.5065,96.9685
0.699018,0.005223,N0,ram,0.0204,3.9001
0.699155,0.005233,N1,package,0.3618,69.1406
0.699354,0.005420,N1,ram,0.0258,4.7635
0.704440,0.005433,N0,package,0.5687,104.6783
0.704452,0.005434,N0,ram,0.0226,4.1671
0.704587,0.005432,N1,package,0.4548,83.7228
0.704599,0.005245,N1,ram,0.0312,5.9552
0.709673,0.005233,N0,package,0.5158,98.5719
0.709685,0.005233,N0,ram,0.0215,4.1172
0.709823,0.005236,N1,package,0.4098,78.2653
0.709835,0.005236,N1,ram,0.0275,5.2513
0.714909,0.005236,N0,package,0.5057,96.5857
0.714920,0.005235,N0,ram,0.0194,3.7076
0.715060,0.005237,N1,package,0.3690,70.4507
0.715072,0.005237,N1,ram,0.0258,4.9329
0.720151,0.005242,N0,package,0.4940,94.2331
0.720166,0.005246,N0,ram,0.0201,3.8220
0.720402,0.005342,N1,package,0.3922,73.4089
0.720562,0.005490,N1,ram,0.0325,5.9144
0.725638,0.005487,N0,package,0.6188,112.7828
0.725650,0.005484,N0,ram,0.0255,4.6410
0.725780,0.005378,N1,package,0.4417,82.1329
0.725791,0.005229,N1,ram,0.0260,4.9725
0.730866,0.005228,N0,package,0.4838,92.5327
0.730877,0.005227,N0,ram,0.0200,3.8301
0.731010,0.005230,N1,package,0.3893,74.4333
0.731021,0.005230,N1,ram,0.0264,5.0416
