#timestamp,interval,socket,domain,energy,power
0.005162,0.005190,N0,package,0.1117,21.5205
0.005205,0.005228,N0,ram,0.0095,1.8125
0.005299,0.005307,N1,package,0.1107,20.8503
0.005312,0.005312,N1,ram,0.0096,1.8154
0.010416,0.005254,N0,package,0.1277,24.3140
0.010446,0.005241,N0,ram,0.0117,2.2330
0.010475,0.005176,N1,package,0.1391,26.8748
0.010490,0.005178,N1,ram,0.0128,2.4695
0.015647,0.005231,N0,package,0.1040,19.8826
0.015661,0.005215,N0,ram,0.0095,1.8170
0.015718,0.005243,N1,package,0.1174,22.3975
0.015729,0.005239,N1,ram,0.0107,2.0475
0.020861,0.005214,N0,package,0.1039,19.9354
0.020887,0.005226,N0,ram,0.0095,1.8132
0.020951,0.005233,N1,package,0.1185,22.6387
0.020968,0.005239,N1,ram,0.0103,1.9630
0.026109,0.005248,N0,package,0.1085,20.6665
0.026124,0.005237,N0,ram,0.0094,1.7860
0.026188,0.005237,N1,package,0.1267,24.1956
0.026199,0.005231,N1,ram,0.0082,1.5635
0.031342,0.005233,N0,package,0.1113,21.2624
0.031357,0.005233,N0,ram,0.0090,1.7291
0.031416,0.005228,N1,package,0.1599,30.5757
0.031427,0.005228,N1,ram,0.0117,2.2386
0.036541,0.005199,N0,package,0.1340,25.7691
0.036556,0.005199,N0,ram,0.0110,2.1132
0.036601,0.005185,N1,package,0.1424,27.4622
0.036627,0.005200,N1,ram,0.0100,1.9190
0.041754,0.005213,N0,package,0.1080,20.7235
0.041787,0.005231,N0,ram,0.0092,1.7648
0.041820,0.005219,N1,package,0.1409,26.9917
0.041844,0.005217,N1,ram,0.0096,1.8427
0.046974,0.005220,N0,package,0.1174,22.4968
0.047000,0.005213,N0,ram,0.0092,1.7621
0.047064,0.005244,N1,package,0.1436,27.3749
0.047077,0.005233,N1,ram,0.0100,1.9041
0.052241,0.005267,N0,package,0.1068,20.2788
0.052254,0.005254,N0,ram,0.0092,1.7541
0.052321,0.005257,N1,package,0.1415,26.9248
0.052331,0.005254,N1,ram,0.0096,1.8355
0.057413,0.005172,N0,package,0.1385,26.7896
0.057427,0.005173,N0,ram,0.0108,2.0943
0.057459,0.005138,N1,package,0.1749,34.0343
0.057469,0.005138,N1,ram,0.0119,2.3194
0.062589,0.005176,N0,package,0.1199,23.1709
0.062614,0.005187,N0,ram,0.0092,1.7709
0.062641,0.005182,N1,package,0.1473,28.4209
0.062657,0.005188,N1,ram,0.0096,1.8559
0.067765,0.005176,N0,package,0.1212,23.4185
0.067804,0.005190,N0,ram,0.0099,1.9169
0.067827,0.005186,N1,package,0.1525,29.4108
0.067841,0.005184,N1,ram,0.0116,2.2428
0.072961,0.005196,N0,package,0.1238,23.8216
0.072999,0.005195,N0,ram,0.0096,1.8505
0.073029,0.005202,N1,package,0.2603,50.0408
0.073044,0.005203,N1,ram,0.0228,4.3902
0.078205,0.005244,N0,package,0.1205,22.9881
0.078249,0.005250,N0,ram,0.0076,1.4445
0.078282,0.005253,N1,package,0.2574,49.0109
0.078317,0.005273,N1,ram,0.0232,4.4044
0.083424,0.005219,N0,package,0.1217,23.3184
0.083456,0.005207,N0,ram,0.0095,1.8227
0.083476,0.005194,N1,package,0.3097,59.6229
0.083492,0.005175,N1,ram,0.0276,5.3397
0.088571,0.005147,N0,package,0.1470,28.5551
0.088603,0.005147,N0,ram,0.0113,2.1968
0.088624,0.005148,N1,package,0.2635,51.1834
0.088662,0.005170,N1,ram,0.0233,4.4981
0.093790,0.005219,N0,package,0.1283,24.5825
0.093828,0.005225,N0,ram,0.0093,1.7873
0.093859,0.005235,N1,package,0.2629,50.2160
0.093884,0.005222,N1,ram,0.0232,4.4502
0.099048,0.005258,N0,package,0.1247,23.7160
0.099088,0.005260,N0,ram,0.0091,1.7231
0.099127,0.005268,N1,package,0.2715,51.5337
0.099147,0.005263,N1,ram,0.0231,4.3981
0.104311,0.005263,N0,package,0.1276,24.2374
0.104347,0.005259,N0,ram,0.0094,1.7815
0.104378,0.005251,N1,package,0.2715,51.7021
0.104398,0.005251,N1,ram,0.0233,4.4286
0.109503,0.005192,N0,package,0.1357,26.1325
0.109537,0.005190,N0,ram,0.0095,1.8258
0.109557,0.005179,N1,package,0.3347,64.6187
0.109569,0.005171,N1,ram,0.0278,5.3823
0.114687,0.005184,N0,package,0.1587,30.6122
0.114723,0.005186,N0,ram,0.0110,2.1214
0.114751,0.005194,N1,package,0.2831,54.5021
0.114771,0.005202,N1,ram,0.0232,4.4558
0.119932,0.005245,N0,package,0.1412,26.9161
0.119973,0.005250,N0,ram,0.0091,1.7264
0.120007,0.005256,N1,package,0.2888,54.9484
0.120028,0.005257,N1,ram,0.0232,4.4118
0.125191,0.005259,N0,package,0.1376,26.1710
0.125229,0.005256,N0,ram,0.0091,1.7274
0.125263,0.005256,N1,package,0.2914,55.4502
0.125295,0.005267,N1,ram,0.0230,4.3746
0.130361,0.005170,N0,package,0.1497,28.9586
0.130373,0.005144,N0,ram,0.0089,1.7293
0.130409,0.005146,N1,package,0.3026,58.8050
0.130423,0.005128,N1,ram,0.0231,4.5109
0.135503,0.005142,N0,package,0.1491,28.9984
0.135535,0.005162,N0,ram,0.0091,1.7559
0.135556,0.005147,N1,package,0.3671,71.3285
0.135573,0.005150,N1,ram,0.0278,5.4074
0.140698,0.005195,N0,package,0.1824,35.1179
0.140738,0.005203,N0,ram,0.0112,2.1438
0.140783,0.005227,N1,package,0.3116,59.6212
0.140799,0.005226,N1,ram,0.0230,4.4000
0.145924,0.005226,N0,package,0.1600,30.6102
0.145964,0.005226,N0,ram,0.0090,1.7315
0.145999,0.005216,N1,package,0.3115,59.7142
0.146022,0.005223,N1,ram,0.0230,4.4114
0.151155,0.005231,N0,package,0.1562,29.8589
0.151191,0.005227,N0,ram,0.0090,1.7311
0.151213,0.005214,N1,package,0.3141,60.2511
0.151229,0.005207,N1,ram,0.0230,4.4134
0.156376,0.005221,N0,package,0.1514,28.9926
0.156401,0.005210,N0,ram,0.0085,1.6284
0.156433,0.005220,N1,package,0.3076,58.9312
0.156451,0.005222,N1,ram,0.0230,4.4093
0.161558,0.005182,N0,package,0.1855,35.7941
0.161589,0.005188,N0,ram,0.0107,2.0676
0.161623,0.005190,N1,package,0.3793,73.0874
0.161646,0.005195,N1,ram,0.0278,5.3517
0.166789,0.005231,N0,package,0.1555,29.7292
0.166824,0.005235,N0,ram,0.0090,1.7285
0.166846,0.005223,N1,package,0.3121,59.7610
0.166860,0.005214,N1,ram,0.0231,4.4395
0.172016,0.005227,N0,package,0.1531,29.2865
0.172057,0.005233,N0,ram,0.0092,1.7612
0.172092,0.005246,N1,package,0.3163,60.3030
0.172113,0.005253,N1,ram,0.0232,4.4152
0.177285,0.005269,N0,package,0.1536,29.1446
0.177315,0.005258,N0,ram,0.0083,1.5787
0.177347,0.005255,N1,package,0.3108,59.1421
0.177366,0.005253,N1,ram,0.0228,4.3455
0.182451,0.005166,N0,package,0.1561,30.2101
0.182483,0.005168,N0,ram,0.0089,1.7243
0.182517,0.005170,N1,package,0.3118,60.3020
0.182528,0.005162,N1,ram,0.0230,4.4547
0.187663,0.005212,N0,package,0.1845,35.4004
0.187703,0.005220,N0,ram,0.0107,2.0491
0.187737,0.005220,N1,package,0.3763,72.0972
0.187772,0.005244,N1,ram,0.0277,5.2812
0.192899,0.005236,N0,package,0.1572,30.0285
0.192935,0.005232,N0,ram,0.0083,1.5894
0.192957,0.005220,N1,package,0.3126,59.8783
0.192973,0.005201,N1,ram,0.0230,4.4155
0.198129,0.005230,N0,package,0.1518,29.0241
0.198170,0.005235,N0,ram,0.0083,1.5915
0.198203,0.005246,N1,package,0.3152,60.0909
0.198265,0.005292,N1,ram,0.0230,4.3509
0.203374,0.005245,N0,package,0.1566,29.8603
0.203386,0.005216,N0,ram,0.0089,1.7084
0.203422,0.005219,N1,package,0.3159,60.5208
0.203438,0.005173,N1,ram,0.0230,4.4423
0.208541,0.005167,N0,package,0.1532,29.6493
0.208572,0.005186,N0,ram,0.0070,1.3417
0.208609,0.005187,N1,package,0.3725,71.8165
0.208628,0.005190,N1,ram,0.0278,5.3627
0.213768,0.005227,N0,package,0.1832,35.0535
0.213802,0.005230,N0,ram,0.0100,1.9051
0.213830,0.005221,N1,package,0.3162,60.5544
0.213847,0.005219,N1,ram,0.0230,4.4119
0.219009,0.005241,N0,package,0.1562,29.8018
0.219046,0.005244,N0,ram,0.0089,1.6994
0.219084,0.005254,N1,package,0.3175,60.4307
0.219105,0.005258,N1,ram,0.0230,4.3733
0.224282,0.005273,N0,package,0.1534,29.0875
0.224328,0.005282,N0,ram,0.0063,1.1988
0.224359,0.005275,N1,package,0.3115,59.0565
0.224381,0.005276,N1,ram,0.0231,4.3816
0.229524,0.005242,N0,package,0.1528,29.1560
0.229560,0.005232,N0,ram,0.0077,1.4758
0.229599,0.005240,N1,package,0.3141,59.9407
0.229624,0.005243,N1,ram,0.0275,5.2531
0.234729,0.005205,N0,package,0.1857,35.6702
0.234764,0.005204,N0,ram,0.0094,1.7973
0.234785,0.005186,N1,package,0.3798,73.2387
0.234801,0.005177,N1,ram,0.0231,4.4712
0.239960,0.005231,N0,package,0.1553,29.6839
0.239997,0.005233,N0,ram,0.0089,1.7029
0.240030,0.005245,N1,package,0.3152,60.0929
0.240094,0.005293,N1,ram,0.0231,4.3589
0.245258,0.005298,N0,package,0.1563,29.5030
0.245307,0.005310,N0,ram,0.0089,1.6782
0.245343,0.005313,N1,package,0.3176,59.7724
0.245366,0.005272,N1,ram,0.0232,4.4079
0.250508,0.005250,N0,package,0.1518,28.9134
0.250544,0.005237,N0,ram,0.0070,1.3286
0.250579,0.005236,N1,package,0.3110,59.3926
0.250641,0.005275,N1,ram,0.0276,5.2273
0.255776,0.005268,N0,package,0.1812,34.3998
0.255813,0.005269,N0,ram,0.0075,1.4278
0.255835,0.005256,N1,package,0.3751,71.3563
0.255850,0.005209,N1,ram,0.0231,4.4436
0.261008,0.005232,N0,package,0.1538,29.3971
0.261058,0.005245,N0,ram,0.0062,1.1811
0.261081,0.005246,N1,package,0.3168,60.3961
0.261095,0.005245,N1,ram,0.0231,4.4075
0.266220,0.005212,N0,package,0.1529,29.3344
0.266256,0.005198,N0,ram,0.0059,1.1302
0.266282,0.005201,N1,package,0.3105,59.7079
0.266298,0.005203,N1,ram,0.0231,4.4342
0.271375,0.005155,N0,package,0.1503,29.1628
0.271405,0.005149,N0,ram,0.0055,1.0609
0.271425,0.005143,N1,package,0.3101,60.2884
0.271441,0.005143,N1,ram,0.0230,4.4682
0.276545,0.005170,N0,package,0.1526,29.5253
0.276577,0.005172,N0,ram,0.0065,1.2539
0.276608,0.005183,N1,package,0.3767,72.6819
0.276628,0.005187,N1,ram,0.0276,5.3186
0.281733,0.005188,N0,package,0.1855,35.7529
0.281769,0.005192,N0,ram,0.0083,1.5988
0.281789,0.005181,N1,package,0.3145,60.6927
0.281801,0.005173,N1,ram,0.0231,4.4600
0.286948,0.005215,N0,package,0.1547,29.6578
0.286984,0.005215,N0,ram,0.0070,1.3342
0.287006,0.005217,N1,package,0.3126,59.9139
0.287020,0.005219,N1,ram,0.0231,4.4206
0.292171,0.005223,N0,package,0.1503,28.7703
0.292207,0.005223,N0,ram,0.0055,1.0459
0.292231,0.005225,N1,package,0.3156,60.4023
0.292248,0.005228,N1,ram,0.0231,4.4159
0.297380,0.005209,N0,package,0.1509,28.9652
0.297405,0.005198,N0,ram,0.0058,1.1126
0.297438,0.005207,N1,package,0.3141,60.3222
0.297459,0.005211,N1,ram,0.0230,4.4217
0.302630,0.005250,N0,package,0.1556,29.6342
0.302668,0.005263,N0,ram,0.0071,1.3481
0.302699,0.005261,N1,package,0.3776,71.7640
0.302723,0.005264,N1,ram,0.0277,5.2698
0.307889,0.005259,N0,package,0.1812,34.4459
0.307921,0.005253,N0,ram,0.0077,1.4611
0.307956,0.005257,N1,package,0.3152,59.9683
0.307982,0.005259,N1,ram,0.0184,3.5049
0.313168,0.005279,N0,package,0.1518,28.7540
0.313202,0.005281,N0,ram,0.0057,1.0864
0.313223,0.005267,N1,package,0.3088,58.6259
0.313238,0.005256,N1,ram,0.0229,4.3663
0.318366,0.005198,N0,package,0.1505,28.9441
0.318392,0.005190,N0,ram,0.0058,1.1113
0.318422,0.005199,N1,package,0.3126,60.1289
0.318440,0.005202,N1,ram,0.0231,4.4409
0.323546,0.005180,N0,package,0.1524,29.4224
0.323578,0.005186,N0,ram,0.0063,1.2240
0.323618,0.005196,N1,package,0.3156,60.7432
0.323682,0.005242,N1,ram,0.0278,5.2977
0.328787,0.005241,N0,package,0.1835,35.0060
0.328823,0.005245,N0,ram,0.0072,1.3789
0.328843,0.005225,N1,package,0.3754,71.8529
0.328859,0.005177,N1,ram,0.0231,4.4653
0.334016,0.005229,N0,package,0.1525,29.1694
0.334056,0.005233,N0,ram,0.0064,1.2160
0.334090,0.005247,N1,package,0.3135,59.7426
0.334113,0.005254,N1,ram,0.0231,4.4030
0.339284,0.005268,N0,package,0.1511,28.6878
0.339338,0.005282,N0,ram,0.0056,1.0631
0.339376,0.005286,N1,package,0.3123,59.0840
0.339388,0.005275,N1,ram,0.0232,4.3939
0.344496,0.005212,N0,package,0.1537,29.4984
0.344527,0.005189,N0,ram,0.0057,1.1057
0.344551,0.005175,N1,package,0.3160,61.0692
0.344565,0.005177,N1,ram,0.0231,4.4565
0.349691,0.005195,N0,package,0.1518,29.2199
0.349729,0.005202,N0,ram,0.0064,1.2232
0.349767,0.005216,N1,package,0.3770,72.2819
0.349781,0.005216,N1,ram,0.0278,5.3241
0.354906,0.005215,N0,package,0.1857,35.6017
0.354942,0.005213,N0,ram,0.0081,1.5601
0.354963,0.005196,N1,package,0.3108,59.8124
0.354980,0.005199,N1,ram,0.0228,4.3907
0.360140,0.005234,N0,package,0.1529,29.2115
0.360180,0.005238,N0,ram,0.0056,1.0691
0.360214,0.005251,N1,package,0.3174,60.4432
0.360235,0.005255,N1,ram,0.0230,4.3729
0.365365,0.005225,N0,package,0.1507,28.8416
0.365377,0.005197,N0,ram,0.0058,1.1098
0.365417,0.005203,N1,package,0.3117,59.9089
0.365432,0.005197,N1,ram,0.0230,4.4246
0.370536,0.005171,N0,package,0.1503,29.0595
0.370567,0.005190,N0,ram,0.0056,1.0790
0.370599,0.005182,N1,package,0.3109,59.9983
0.370619,0.005187,N1,ram,0.0229,4.4096
0.375726,0.005190,N0,package,0.1514,29.1657
0.375737,0.005170,N0,ram,0.0065,1.2544
0.375778,0.005179,N1,package,0.3781,72.9981
0.375791,0.005172,N1,ram,0.0278,5.3724
0.380918,0.005192,N0,package,0.1837,35.3724
0.380945,0.005208,N0,ram,0.0063,1.2159
0.380981,0.005203,N1,package,0.3098,59.5453
0.381000,0.005209,N1,ram,0.0229,4.3881
0.386164,0.005246,N0,package,0.1508,28.7495
0.386188,0.005243,N0,ram,0.0062,1.1816
0.386219,0.005238,N1,package,0.3174,60.5917
0.386239,0.005239,N1,ram,0.0231,4.4125
0.391321,0.005157,N0,package,0.1513,29.3400
0.391333,0.005145,N0,ram,0.0054,1.0588
0.391367,0.005148,N1,package,0.3096,60.1349
0.391382,0.005143,N1,ram,0.0231,4.4831
0.396482,0.005161,N0,package,0.1516,29.3761
0.396510,0.005177,N0,ram,0.0056,1.0817
0.396541,0.005174,N1,package,0.3082,59.5615
0.396560,0.005178,N1,ram,0.0230,4.4468
0.401668,0.005186,N0,package,0.1528,29.4697
0.401680,0.005170,N0,ram,0.0063,1.2278
0.401716,0.005175,N1,package,0.2755,53.2380
0.401731,0.005171,N1,ram,0.0278,5.3764
0.406853,0.005185,N0,package,0.1815,34.9974
0.406877,0.005197,N0,ram,0.0081,1.5679
0.406906,0.005190,N1,package,0.3278,63.1650
0.406925,0.005194,N1,ram,0.0231,4.4390
0.412057,0.005204,N0,package,0.1505,28.9110
0.412069,0.005192,N0,ram,0.0063,1.2226
0.412103,0.005197,N1,package,0.2755,53.0016
0.412118,0.005193,N1,ram,0.0185,3.5701
0.417289,0.005232,N0,package,0.1514,28.9422
0.417319,0.005250,N0,ram,0.0056,1.0667
0.417338,0.005235,N1,package,0.2689,51.3702
0.417351,0.005233,N1,ram,0.0229,4.3709
0.422447,0.005158,N0,package,0.1541,29.8789
0.422458,0.005139,N0,ram,0.0046,0.8878
0.422493,0.005155,N1,package,0.2708,52.5332
0.422506,0.005155,N1,ram,0.0232,4.4962
0.427631,0.005184,N0,package,0.1511,29.1522
0.427655,0.005197,N0,ram,0.0064,1.2243
0.427686,0.005193,N1,package,0.2703,52.0439
0.427704,0.005198,N1,ram,0.0232,4.4561
0.432836,0.005205,N0,package,0.1829,35.1425
0.432860,0.005205,N0,ram,0.0074,1.4189
0.432891,0.005205,N1,package,0.3232,62.0915
0.432910,0.005206,N1,ram,0.0278,5.3346
0.438042,0.005206,N0,package,0.1497,28.7480
0.438054,0.005194,N0,ram,0.0062,1.1956
0.438087,0.005196,N1,package,0.2765,53.2110
0.438098,0.005188,N1,ram,0.0230,4.4324
0.443226,0.005184,N0,package,0.1526,29.4334
0.443238,0.005184,N0,ram,0.0046,0.8830
0.443274,0.005187,N1,package,0.2663,51.3388
0.443290,0.005192,N1,ram,0.0232,4.4642
0.448350,0.005124,N0,package,0.1523,29.7323
0.448376,0.005138,N0,ram,0.0056,1.0929
0.448408,0.005134,N1,package,0.2707,52.7265
0.448430,0.005140,N1,ram,0.0232,4.5093
0.453546,0.005196,N0,package,0.1542,29.6830
0.453557,0.005181,N0,ram,0.0064,1.2281
0.453591,0.005183,N1,package,0.2715,52.3800
0.453604,0.005174,N1,ram,0.0232,4.4857
0.458726,0.005180,N0,package,0.1514,29.2221
0.458750,0.005193,N0,ram,0.0064,1.2253
0.458782,0.005191,N1,package,0.3268,62.9506
0.458816,0.005212,N1,ram,0.0277,5.3224
0.463915,0.005189,N0,package,0.1824,35.1465
0.463927,0.005177,N0,ram,0.0079,1.5179
0.463962,0.005180,N1,package,0.2728,52.6681
0.463974,0.005158,N1,ram,0.0230,4.4641
0.469101,0.005186,N0,package,0.1519,29.2814
0.469113,0.005186,N0,ram,0.0062,1.1976
0.469150,0.005188,N1,package,0.2708,52.1882
0.469167,0.005193,N1,ram,0.0232,4.4663
0.474315,0.005214,N0,package,0.1522,29.1949
0.474327,0.005214,N0,ram,0.0061,1.1618
0.474360,0.005210,N1,package,0.2699,51.8045
0.474370,0.005203,N1,ram,0.0232,4.4547
0.479450,0.005135,N0,package,0.1525,29.6912
0.479462,0.005135,N0,ram,0.0064,1.2392
0.479499,0.005139,N1,package,0.2719,52.9008
0.479510,0.005140,N1,ram,0.0232,4.5093
0.484611,0.005161,N0,package,0.1509,29.2460
0.484622,0.005160,N0,ram,0.0065,1.2627
0.484658,0.005159,N1,package,0.2675,51.8412
0.484679,0.005169,N1,ram,0.0230,4.4546
0.489804,0.005193,N0,package,0.1541,29.6772
0.489816,0.005194,N0,ram,0.0065,1.2515
0.489855,0.005197,N1,package,0.3178,61.1520
0.489873,0.005194,N1,ram,0.0272,5.2410
0.494991,0.005187,N0,package,0.1840,35.4771
0.495003,0.005187,N0,ram,0.0065,1.2532
0.495045,0.005190,N1,package,0.2687,51.7692
0.495059,0.005186,N1,ram,0.0229,4.4104
0.500182,0.005191,N0,package,0.1527,29.4191
0.500194,0.005191,N0,ram,0.0063,1.2228
0.500229,0.005184,N1,package,0.2658,51.2754
0.500244,0.005185,N1,ram,0.0227,4.3791
0.505383,0.005201,N0,package,0.1520,29.2203
0.505408,0.005214,N0,ram,0.0071,1.3638
0.505445,0.005216,N1,package,0.2762,52.9599
0.505462,0.005218,N1,ram,0.0228,4.3747
0.510638,0.005255,N0,package,0.1491,28.3748
0.510671,0.005263,N0,ram,0.0056,1.0641
0.510715,0.005270,N1,package,0.3109,58.9967
0.510734,0.005272,N1,ram,0.0228,4.3298
0.515892,0.005254,N0,package,0.1824,34.7227
0.515930,0.005259,N0,ram,0.0074,1.4014
0.515966,0.005251,N1,package,0.3728,70.9975
0.516002,0.005268,N1,ram,0.0275,5.2167
0.521164,0.005272,N0,package,0.1519,28.8046
0.521203,0.005273,N0,ram,0.0065,1.2327
0.521235,0.005269,N1,package,0.3101,58.8452
0.521331,0.005329,N1,ram,0.0229,4.2921
0.526411,0.005247,N0,package,0.1517,28.9175
0.526429,0.005226,N0,ram,0.0056,1.0745
0.526449,0.005214,N1,package,0.3166,60.7194
0.526466,0.005135,N1,ram,0.0228,4.4396
0.531569,0.005158,N0,package,0.1561,30.2576
0.531601,0.005172,N0,ram,0.0054,1.0532
0.531636,0.005187,N1,package,0.3089,59.5521
0.531656,0.005190,N1,ram,0.0226,4.3541
0.536761,0.005192,N0,package,0.1520,29.2830
0.536798,0.005197,N0,ram,0.0062,1.1920
0.536824,0.005188,N1,package,0.3757,72.4118
0.536847,0.005191,N1,ram,0.0272,5.2442
0.542011,0.005250,N0,package,0.1826,34.7844
0.542047,0.005249,N0,ram,0.0073,1.3837
0.542072,0.005248,N1,package,0.3095,58.9758
0.542088,0.005241,N1,ram,0.0228,4.3554
0.547218,0.005207,N0,package,0.1525,29.2923
0.547254,0.005207,N0,ram,0.0055,1.0491
0.547279,0.005207,N1,package,0.3141,60.3339
0.547326,0.005238,N1,ram,0.0227,4.3259
0.552428,0.005210,N0,package,0.1532,29.4051
0.552462,0.005208,N0,ram,0.0059,1.1310
0.552505,0.005226,N1,package,0.3170,60.6482
0.552520,0.005194,N1,ram,0.0225,4.3391
0.557617,0.005189,N0,package,0.1512,29.1476
0.557653,0.005191,N0,ram,0.0054,1.0494
0.557676,0.005171,N1,package,0.3056,59.0987
0.557692,0.005172,N1,ram,0.0227,4.3929
0.562819,0.005202,N0,package,0.1543,29.6608
0.562858,0.005205,N0,ram,0.0063,1.2166
0.562893,0.005217,N1,package,0.3107,59.5629
0.562957,0.005265,N1,ram,0.0274,5.1993
0.568123,0.005304,N0,package,0.1815,34.2124
0.568147,0.005289,N0,ram,0.0074,1.3963
0.568182,0.005289,N1,package,0.3848,72.7587
0.568204,0.005247,N1,ram,0.0228,4.3535
0.573342,0.005219,N0,package,0.1498,28.6978
0.573354,0.005207,N0,ram,0.0059,1.1341
0.573392,0.005210,N1,package,0.3043,58.4001
0.573405,0.005201,N1,ram,0.0228,4.3918
0.578484,0.005142,N0,package,0.1516,29.4850
0.578496,0.005142,N0,ram,0.0056,1.0891
0.578531,0.005139,N1,package,0.3181,61.9008
0.578558,0.005153,N1,ram,0.0182,3.5416
0.583656,0.005172,N0,package,0.1514,29.2666
0.583667,0.005171,N0,ram,0.0063,1.2246
0.583705,0.005174,N1,package,0.3056,59.0660
0.583721,0.005163,N1,ram,0.0182,3.5229
0.588820,0.005164,N0,package,0.1492,28.8870
0.588832,0.005165,N0,ram,0.0062,1.2024
0.588873,0.005168,N1,package,0.2703,52.3078
0.588887,0.005166,N1,ram,0.0229,4.4246
0.594036,0.005216,N0,package,0.1850,35.4681
0.594048,0.005216,N0,ram,0.0072,1.3866
0.594087,0.005214,N1,package,0.3343,64.1141
0.594100,0.005213,N1,ram,0.0272,5.2248
0.599230,0.005194,N0,package,0.1520,29.2592
0.599242,0.005194,N0,ram,0.0055,1.0517
0.599290,0.005203,N1,package,0.2714,52.1666
0.599304,0.005204,N1,ram,0.0227,4.3572
0.604382,0.005152,N0,package,0.1514,29.3922
0.604396,0.005154,N0,ram,0.0056,1.0895
0.604435,0.005145,N1,package,0.2688,52.2439
0.604453,0.005149,N1,ram,0.0229,4.4391
0.609531,0.005149,N0,package,0.1523,29.5877
0.609562,0.005166,N0,ram,0.0064,1.2346
0.609589,0.005154,N1,package,0.2811,54.5323
0.609611,0.005158,N1,ram,0.0222,4.3103
0.614739,0.005208,N0,package,0.1520,29.1932
0.614777,0.005215,N0,ram,0.0057,1.1001
0.614815,0.005226,N1,package,0.3107,59.4596
0.614841,0.005230,N1,ram,0.0231,4.4085
0.620013,0.005274,N0,package,0.1797,34.0701
0.620051,0.005274,N0,ram,0.0074,1.4004
0.620093,0.005278,N1,package,0.3756,71.1670
0.620122,0.005281,N1,ram,0.0275,5.2038
0.625279,0.005266,N0,package,0.1512,28.7213
0.625348,0.005297,N0,ram,0.0058,1.0860
0.625376,0.005283,N1,package,0.3074,58.1918
0.625391,0.005269,N1,ram,0.0228,4.3207
0.630499,0.005220,N0,package,0.1523,29.1850
0.630530,0.005182,N0,ram,0.0056,1.0748
0.630559,0.005183,N1,package,0.3080,59.4221
0.630580,0.005189,N1,ram,0.0185,3.5582
0.635698,0.005199,N0,package,0.1533,29.4892
0.635739,0.005209,N0,ram,0.0046,0.8758
0.635774,0.005215,N1,package,0.3133,60.0763
0.635803,0.005223,N1,ram,0.0229,4.3822
0.640961,0.005263,N0,package,0.1906,36.2069
0.640998,0.005259,N0,ram,0.0085,1.6104
0.641025,0.005251,N1,package,0.3692,70.3085
0.641047,0.005244,N1,ram,0.0274,5.2172
0.646203,0.005242,N0,package,0.1547,29.5156
0.646260,0.005262,N0,ram,0.0056,1.0671
0.646304,0.005279,N1,package,0.3085,58.4472
0.646327,0.005280,N1,ram,0.0229,4.3291
0.651429,0.005226,N0,package,0.1513,28.9531
0.651461,0.005201,N0,ram,0.0055,1.0503
0.651503,0.005199,N1,package,0.3101,59.6359
0.651532,0.005205,N1,ram,0.0229,4.4003
0.656653,0.005224,N0,package,0.1512,28.9520
0.656690,0.005229,N0,ram,0.0057,1.0972
0.656713,0.005210,N1,package,0.3086,59.2319
0.656736,0.005204,N1,ram,0.0230,4.4246
0.661864,0.005211,N0,package,0.1562,29.9840
0.661900,0.005210,N0,ram,0.0062,1.1920
0.661930,0.005217,N1,package,0.3135,60.0983
0.661948,0.005212,N1,ram,0.0229,4.3885
0.667107,0.005243,N0,package,0.1824,34.7853
0.667147,0.005247,N0,ram,0.0071,1.3465
0.667187,0.005257,N1,package,0.3710,70.5803
0.667211,0.005263,N1,ram,0.0277,5.2563
0.672394,0.005287,N0,package,0.1500,28.3636
0.672407,0.005260,N0,ram,0.0054,1.0356
0.672449,0.005262,N1,package,0.3119,59.2732
0.672469,0.005258,N1,ram,0.0227,4.3212
0.677547,0.005153,N0,package,0.1532,29.7303
0.677578,0.005171,N0,ram,0.0056,1.0829
0.677603,0.005154,N1,package,0.3057,59.3165
0.677628,0.005159,N1,ram,0.0229,4.4364
0.682750,0.005203,N0,package,0.1495,28.7403
0.682787,0.005209,N0,ram,0.0053,1.0223
0.682817,0.005214,N1,package,0.3134,60.0990
0.682839,0.005211,N1,ram,0.0227,4.3631
0.687998,0.005248,N0,package,0.1514,28.8424
0.688038,0.005251,N0,ram,0.0074,1.4036
0.688075,0.005258,N1,package,0.3752,71.3536
0.688097,0.005258,N1,ram,0.0275,5.2293
0.693232,0.005234,N0,package,0.1817,34.7156
0.693273,0.005235,N0,ram,0.0057,1.0901
0.693300,0.005225,N1,package,0.3104,59.4121
0.693319,0.005222,N1,ram,0.0225,4.3011
0.698420,0.005188,N0,package,0.1510,29.1059
0.698453,0.005180,N0,ram,0.0055,1.0575
0.698489,0.005189,N1,package,0.3086,59.4714
0.698520,0.005201,N1,ram,0.0229,4.4126
0.703651,0.005231,N0,package,0.1509,28.8438
0.703675,0.005222,N0,ram,0.0051,0.9847
0.703717,0.005228,N1,package,0.3110,59.4936
0.703737,0.005217,N1,ram,0.0229,4.3959
0.708843,0.005192,N0,package,0.1503,28.9421
0.708854,0.005179,N0,ram,0.0054,1.0401
0.708900,0.005183,N1,package,0.3076,59.3396
0.708921,0.005184,N1,ram,0.0228,4.4005
0.714076,0.005233,N0,package,0.1816,34.7103
0.714105,0.005251,N0,ram,0.0067,1.2815
0.714149,0.005249,N1,package,0.3758,71.5930
0.714170,0.005249,N1,ram,0.0276,5.2645
